Layer,MSE,Image_Type
conv1,0.002766178,offsample
conv1,0.013232836,offsample
conv1,3.1970307e-05,offsample
conv1,2.6071273e-06,offsample
conv1,0.0016143906,offsample
conv1,0.0011608788,offsample
conv1,0.023292867,offsample
conv1,0.004590972,offsample
conv1,0.012678606,offsample
conv1,0.0013303687,offsample
conv1,0.05168676,offsample
conv1,0.0023485392,offsample
conv1,0.0013512771,offsample
conv1,0.0049519115,offsample
conv1,0.0022019194,offsample
conv1,0.03109962,offsample
conv1,8.362389e-05,offsample
conv1,0.00060947944,offsample
conv1,0.0051859394,offsample
conv1,0.013238501,offsample
conv1,0.0119009055,offsample
conv1,0.0021240648,offsample
conv1,0.034339875,offsample
conv1,0.008401546,offsample
conv1,0.009205074,offsample
conv1,0.01732873,offsample
conv1,0.010752687,offsample
conv1,0.015827002,offsample
conv1,0.004086416,offsample
conv1,0.026530597,offsample
conv1,0.034795865,offsample
conv1,0.0029378834,offsample
conv1,0.02966192,offsample
conv1,0.009029045,offsample
conv1,0.00020649745,offsample
conv1,0.0015208824,offsample
conv1,0.0034729727,offsample
conv1,0.04801871,offsample
conv1,0.00040521356,offsample
conv1,0.009155821,offsample
conv1,0.0027894457,offsample
conv1,0.043527827,offsample
conv1,0.006040823,offsample
conv1,0.029979244,offsample
conv1,0.0007150293,offsample
conv1,0.020523906,offsample
conv1,0.00813696,offsample
conv1,0.0010923604,offsample
conv1,0.018157724,offsample
conv1,0.05408044,offsample
conv1,6.5423665e-06,offsample
conv1,0.0002375004,offsample
conv1,0.019754622,offsample
conv1,7.284272e-05,offsample
conv1,0.005787594,offsample
conv1,1.9991478e-05,offsample
conv1,0.0065115816,offsample
conv1,0.00043026122,offsample
conv1,0.0059786583,offsample
conv1,0.0028592835,offsample
conv1,4.3284804e-06,offsample
conv1,0.036437675,offsample
conv1,0.005476999,offsample
conv1,0.012464382,offsample
conv1,0.0024171006,offsample
conv1,0.00010966602,offsample
conv1,0.005570101,offsample
conv1,0.01964474,offsample
conv1,0.0060857,offsample
conv1,0.0032031047,offsample
conv1,0.0018536224,offsample
conv1,0.00035333133,offsample
conv1,0.01456862,offsample
conv1,0.01049073,offsample
conv1,0.0073861405,offsample
conv1,0.016447531,offsample
conv1,0.036465116,offsample
conv1,0.0017523832,offsample
conv1,0.044607434,offsample
conv1,0.0037639064,offsample
conv1,0.0031922625,offsample
conv1,0.0012302434,offsample
conv1,0.0003884274,offsample
conv1,0.00028166722,offsample
conv1,0.0010353152,offsample
conv1,0.017620385,offsample
conv1,0.00091932685,offsample
conv1,0.013949328,offsample
conv1,0.0066755256,offsample
conv1,1.9014826e-05,offsample
conv1,2.3292752e-05,offsample
conv1,0.012285272,offsample
conv1,0.0071128043,offsample
conv1,0.050795313,offsample
conv1,0.05046426,offsample
conv1,0.0036788904,offsample
conv1,0.000101644764,offsample
conv1,8.3070896e-05,offsample
conv1,0.06988268,offsample
conv1,0.023841653,offsample
conv1,0.025732554,offsample
conv1,4.523299e-06,offsample
conv1,0.0023068816,offsample
conv1,0.012131651,offsample
conv1,0.056097344,offsample
conv1,0.0323467,offsample
conv1,0.00064057665,offsample
conv1,0.0041022496,offsample
conv1,0.006293339,offsample
conv1,0.019783016,offsample
conv1,0.018007949,offsample
conv1,0.011761703,offsample
conv1,0.00025200672,offsample
conv1,0.0007544534,offsample
conv1,0.035303302,offsample
conv1,0.0030866358,offsample
conv1,0.058241367,offsample
conv1,0.051728263,offsample
conv1,0.000109087,offsample
conv1,0.0056690616,offsample
conv1,0.003003774,offsample
conv1,0.0066553927,offsample
conv1,0.00016846518,offsample
conv1,0.0063077593,offsample
conv1,0.000110407695,offsample
conv1,0.0015355556,offsample
conv1,0.006884613,offsample
conv1,0.010990824,offsample
conv1,0.010094887,offsample
conv1,0.0497581,offsample
conv1,0.016913187,offsample
conv1,0.012533649,offsample
conv1,0.007994744,offsample
conv1,0.004883775,offsample
conv1,0.005446914,offsample
conv1,0.062511235,offsample
conv1,0.0693657,offsample
conv1,0.049904075,offsample
conv1,0.0036161812,offsample
conv1,0.011045968,offsample
conv1,0.00010877191,offsample
conv1,1.7459197e-05,offsample
conv1,0.0083647445,offsample
conv1,0.001210081,offsample
conv1,0.0010846502,offsample
conv1,0.0002371111,offsample
conv1,0.008666955,offsample
conv1,0.02420269,offsample
conv1,0.012834411,offsample
conv1,0.0166075,offsample
conv1,0.001439412,offsample
conv1,0.00026515347,offsample
conv1,0.0043279664,offsample
conv1,1.2979491e-05,offsample
conv1,0.004485472,offsample
conv1,0.047586143,offsample
conv1,0.016542977,offsample
conv1,0.005823682,offsample
conv1,0.029099546,offsample
conv1,0.053315192,offsample
conv1,0.0053098216,offsample
conv1,0.0031817188,offsample
conv1,0.004623698,offsample
conv1,0.052138075,offsample
conv1,0.03483386,offsample
conv1,0.008602586,offsample
